# cpt2qgis Generated Color Map Export File
INTERPOLATION:INTERPOLATED
-1.100000e+04, 0, 0, 0, 255, -1.100000e+04
-5.000000e+03, 0, 0, 100, 255, -5.000000e+03
-1.000000e+03, 50, 50, 200, 255, -1.000000e+03
-1.000000e+00, 150, 150, 255, 255, -1.000000e+00
0.000000e+00, 0, 150, 0, 255, 0.000000e+00
2.700000e+02, 90, 165, 90, 255, 2.700000e+02
3.000000e+02, 90, 175, 90, 255, 3.000000e+02
5.000000e+02, 50, 180, 50, 255, 5.000000e+02
5.000000e+02, 70, 170, 70, 255, 5.000000e+02
1.000000e+03, 70, 145, 75, 255, 1.000000e+03
1.000000e+03, 70, 155, 75, 255, 1.000000e+03
2.000000e+03, 150, 156, 100, 255, 2.000000e+03
3.000000e+03, 220, 220, 220, 255, 3.000000e+03
4.000000e+03, 245, 245, 245, 255, 4.000000e+03
8.850000e+03, 255, 255, 255, 255, 8.850000e+03
