# cpt2qgis Generated Color Map Export File
INTERPOLATION:INTERPOLATED
-11000, 10, 0, 121, 255, -11000
-10500, 26, 0, 137, 255, -10500
-10000, 38, 0, 152, 255, -10000
-9500, 27, 3, 166, 255, -9500
-9000, 16, 6, 180, 255, -9000
-8500, 5, 9, 193, 255, -8500
-8000, 0, 14, 203, 255, -8000
-7500, 0, 22, 210, 255, -7500
-7000, 0, 30, 216, 255, -7000
-6500, 0, 39, 223, 255, -6500
-6000, 12, 68, 231, 255, -6000
-5500, 26, 102, 240, 255, -5500
-5000, 19, 117, 244, 255, -5000
-4500, 14, 133, 249, 255, -4500
-4000, 21, 158, 252, 255, -4000
-3500, 30, 178, 255, 255, -3500
-3000, 43, 186, 255, 255, -3000
-2500, 55, 193, 255, 255, -2500
-2000, 65, 200, 255, 255, -2000
-1500, 79, 210, 255, 255, -1500
-1000, 94, 223, 255, 255, -1000
-500, 138, 227, 255, 255, -500
-0.001, 188, 230, 255, 255, -0.001
-0.001, 51, 102, 0, 255, -0.001
100, 51, 204, 102, 255, 100
200, 187, 228, 146, 255, 200
500, 255, 220, 185, 255, 500
1000, 243, 202, 137, 255, 1000
1500, 230, 184, 88, 255, 1500
2000, 217, 166, 39, 255, 2000
2500, 168, 154, 31, 255, 2500
3000, 164, 144, 25, 255, 3000
3500, 162, 134, 19, 255, 3500
4000, 159, 123, 13, 255, 4000
4500, 156, 113, 7, 255, 4500
5000, 153, 102, 0, 255, 5000
5500, 162, 89, 89, 255, 5500
6000, 178, 118, 118, 255, 6000
6500, 183, 147, 147, 255, 6500
7000, 194, 176, 176, 255, 7000
7500, 204, 204, 204, 255, 7500
8000, 229, 229, 229, 255, 8000
8500, 255, 255, 255, 255, 8500
